Company,Founded,Era,Connect,Collect,Empower,Enable,Share,Alpha.Revenue,Alpha.Impact,Alpha.Users,Avg.Alpha,RevenueSpeed,UserSpeed,ImpactSpeed
Odesk,2006,2,1.5,2,1.5,1.5,1,0.60268518001383,0.66457845484364,NA,0.633631817428735,10150000,80000,775000
Patientslikeme,2005,2,2.2,1.5,1.5,2.2,2,NA,NA,0.436489417,0.436489417,NA,39000,500
Plos,2007,2,1.5,2,1.5,2.5,2.7,0.424370409,0.616700636,NA,0.520535522,5378000,NA,12770.8
Quirky,2010,3,1.5,2.2,1.5,1,2,NA,1.452360335,1.104278072,1.278319203,9250000,316000,131357.333333
Research Gate,2009,3,1,2,1.5,1.2,1,NA,2.088187087,0.761105483,1.424646285,NA,715000,12490000
Salesforce,2000,1,2,2.2,1,2,1,0.265914385523111,0.241377564189086,0.38930795131021,0.298866633674136,379634750,1175000,17400
Shapeways,2008,3,0.5,1.5,2,2.7,2,NA,0.821353416,1.57518044,1.198266928,NA,59980,4166.66666667
Shiply,2009,3,2.2,2,1,1,1,NA,0.649382548,0.766989533,0.708186041,352000,240000,583928.333333
Shutterfly,2000,1,1.7,2,1.5,1.5,1.5,0.285037906,0.198402901,0.235411638,0.239617482,106786000,1068250,2188250
Skype,2006,2,1.7,1,1,1.2,1,0.321300473508403,0.208446901965913,NA,0.264873687737158,362175000,47000000,1500000
Sparkfun,2004,2,0.5,1,1,1,1,0.36558686,NA,NA,0.36558686,5850000,NA,35.5
Spotify,2007,2,2.2,1,1.2,2.2,1,1.10452230470552,0.839632848922258,0.315743454314526,0.753299535980768,161000000,4250000,1437500
Stack Overflow,2009,3,1,2,2,1.7,2.7,NA,0.513720417,NA,0.513720417,NA,NA,3700000
Survey Monkey,2000,1,1,1.5,1.2,1.5,1,NA,0.30702598,0.445898768,0.376462374,28666666.6667,3125000,11250000
TedX,2010,3,1.7,1.5,1.5,1.5,2.5,NA,NA,0.690775528,0.690775528,NA,237500000,9566.66666667
Twitter,2007,2,2.2,2.2,2.7,1.5,2,NA,1.219515049,0.569000646,0.894257848,104311000,59178750,99780000
Waze,2008,3,2,2.2,1.5,1.5,1,NA,NA,1.927703914,1.927703914,NA,12495250,NA
Whatsapp,2010,3,2,2,1.5,1.5,2,NA,NA,1.67327406,1.67327406,NA,107250000,13000000000
Wikipedia,2002,1,1.5,3,2.5,3,2.7,0.443440028497411,0.187365507224263,0.123054455490112,0.251286663737262,7760484.75,52625666.6667,3787049.8
Yammer,2009,3,1.7,1.5,1.5,1.2,1,1.38440980548162,1.34953052938071,0.911077517862397,1.21500595090824,23000000,1588000,329000
Yelp,2005,2,2.2,2,1.5,1.7,2,0.602671701824613,0.481746901101943,0.392440489060718,0.492286363995758,31356750,18452800,8600000
Youtube,2006,2,2,2.2,2.2,2.5,2,NA,0.84763712,0.592508791,0.720072956,NA,187000000,975000000
ZipCar,2001,1,2.2,1,1,1.2,1,0.254611119,0.066921479,0.264052454,0.195195017,43232750,117000,583.333333333
