Company,RevenueSpeed,UserSpeed,ImpactSpeed
Instragram,,0.5,
Spotify,1.04918032787,0.2,0.2
Khan Academy,,0.666666666667,0.0
Evernote,3.44444444444,0.951219512195,1.0
Research Gate,,0.363636363636,0.111111111111
Plos,0.714197768372,,1.83778950954
Pinterest,,0.437371663244,0.259603951263
Global Giving,0.546659840566,0.368192592593,0.259575562423
Wikipedia,0.535122049627,0.101321585903,0.289629194915
Crowdflower,,0.6,1.66666666667
Shapeways,,0.304347826087,1.25
Foursquare,,0.8,0.5
AirBNB (2008),1.73958333333,0.666666666667,0.5
Guifinet,,,0.157894736842
Stack Overflow,,,0.268656716418
Android,2.12999753383,0.6,2.38983050847
Kiva,0.28061585132,0.338150719973,0.218011866667
Whatsapp,,1.15,1.45454545455
Taskrabbit,,2.0,0.666666666667
Elance,0.25,1.31884057971,1.0
Waze,,0.470588235294,
Yelp,0.651762021973,0.251332437318,0.305555555556
Meet Up,,0.434234234234,0.7789875
Kickstarter,2.21816573821,2.15982281815,0.0995085316693
Quora,1.47890164443,371.637414966,1.7954638448
Athena Health,0.303036100559,0.200537840953,0.384625098658
Quirky,2.0,1.73076923077,4.12820512821
LinkedIN,0.861986751923,0.111111111111,0.282737033955
Arduino,0.5,2.33333333333,2.33333333333
Ancestry,0.218999999169,0.11,0.425
Facebook,0.371328482889,0.126893939394,0.9
Odesk,1.23,0.666666666667,0.481481481481
Fon,4.6,0.0729011100704,1.0
Dropbox,1.08333333333,0.75,0.75
Etsy,0.702815829528,0.227586206897,0.25
Sparkfun,0.195219123506,,0.191666666667
Yammer,1.8,0.142857142857,0.65
Survey Monkey,1.26,0.25,0.274509803922
Salesforce,0.353045329373,0.933333333333,0.195402298851
Couchsurfing,1.42725774676,0.513053109173,13.3080834412
Lendingclub,,,2.000970825
Docstoc,,0.166666666667,0.176470588235
Netflix,0.126289678794,0.436363636364,0.0574729294173
BlaBlaCar (2006),0.3,3.0,0.304347826087
We Transfer,12.3333333333,17.75,2.13846153846
Youtube,,0.25,0.333333333333
Ebay,0.20768966701,,0.225099601594
TedX,,1.0,0.818181818182
Makerbot,0.57,0.625,
Crowdgather,0.222543687146,-0.230769230769,-0.307262569832
23AndMe,1.27272727273,0.944444444444,1.33333333333
37signals,,,-0.0588235294118
Huffington Post,0.333333333333,,0.27808988764
Change.org,,1.5,0.714285714286
Carpooling.com,,0.333333333333,0.0827586206897
Twitter,1.9811311881,0.557971014493,0.470588235294
Hoote Suite,5.81818181818,0.4,
Shiply,7.33333333333,0.666666666667,1.047991
8Coupon,,1.5,1.0
Patientslikeme,,0.375,0.333333333333
Layar,,,0.611111111111
Skype,1.32558139535,-0.155354449472,0.205479452055
DeviantArt,,0.217391304348,0.366666666667
ZipCar,0.154387417219,0.0415474566311,0.0242753252074
Shutterfly,0.353612103028,0.310690423163,0.322690437601
Causes,,0.328571428571,1.40740740741
