Company,Founded,Era,Connect,Collect,Empower,Enable,Share,Alpha.Revenue,Alpha.Impact,Alpha.Users,Avg.Alpha,RevenueSpeed,UserSpeed,ImpactSpeed
23AndMe,2007,2,1.5,1.5,1.5,2,2,NA,0.678504779,0.563842432,0.621173605,1.27272727273,0.944444444444,1.33333333333
37signals,2000,1,1.5,1,1,2.5,2,NA,0.277996883,NA,0.277996883,NA,NA,-0.0588235294118
8Coupon,2008,3,2,2,2,2,1.2,NA,1.581776246,NA,1.581776246,NA,1.5,1
AirBNB (2008),2009,3,1.5,2,2,1,1,1.56665905905381,2.05994053526351,1.03089526606445,1.55249828679392,1.73958333333,0.666666666667,0.5
Ancestry,1984,1,1.5,2.2,1.5,1,1.5,0.26299392,0.342963906,0.237489517,0.281149114,0.218999999169,0.11,0.425
Android,2004,2,2.5,2.5,1,3,2.5,1.09383257114834,1.14210108741672,NA,1.11796682928253,2.12999753383,0.6,2.38983050847
Arduino,2006,2,2.7,2.5,2.5,2.7,2.7,NA,0.635013987,0.635013987,0.635013987,0.5,2.33333333333,2.33333333333
Athena Health,1998,1,2,1,1,1,1,0.280355109116981,0.30649816772556,0.233132669667542,0.273328648836694,0.303036100559,0.200537840953,0.384625098658
BlaBlaCar (2006),2005,2,2,2,2,1,1,NA,0.832845107,1.683495936,1.258170521,0.3,3,0.304347826087
Causes,2008,3,1.2,2,2,1.5,1.2,NA,NA,0.617482723,0.617482723,NA,0.328571428571,1.40740740741
Change.org,2008,3,1.2,2,2,2.5,2.2,NA,NA,1.294004182,1.294004182,NA,1.5,0.714285714286
Couchsurfing,2005,2,1.5,2.2,2,1,2,NA,0.829179571105565,0.413142660226114,0.621161115665839,1.42725774676,0.513053109173,13.3080834412
Crowdflower,2008,3,0.5,2.2,2,1.7,1.5,NA,1.100209984,0.854090972,0.977150478,NA,0.6,1.66666666667
Crowdgather,2009,3,1.5,2,2,1.5,1,1.015999191,NA,0.541539152,0.778769172,0.222543687146,-0.230769230769,-0.307262569832
DeviantArt,2001,1,0.5,2,1.5,1.7,1,NA,0.29706163,0.270562601,0.283812116,NA,0.217391304348,0.366666666667
Docstoc,2008,3,1.5,1.5,2,1.5,1.5,NA,0.361386774,0.847327396,0.604357085,NA,0.166666666667,0.176470588235
Dropbox,2008,3,1.7,2,1,2,2,NA,0.626381484,1.263454117,0.944917801,1.08333333333,0.75,0.75
Ebay,1996,1,2,2,2,2,1,0.13087573841749,0.078476695463192,NA,0.104676216940341,0.20768966701,NA,0.225099601594
Elance,1999,1,1.5,2,2,1.5,NA,0.296133085,0.904044134,0.632359838,0.610845685,0.25,1.31884057971,1
Etsy,2006,2,2,2,2,2.5,1,0.571862568,0.438403361,0.225908554,0.412058161,0.702815829528,0.227586206897,0.25
Evernote,2009,3,2,2,1.5,2,1,0.821739678607901,1.49097590485311,1.01428289462757,1.10899949269619,3.44444444444,0.951219512195,1
Facebook,2005,2,1.7,2.2,2.2,2.5,2,0.742168543127874,0.95821247082997,0.39992740385105,0.700102805936298,0.371328482889,0.126893939394,0.9
Fon,2005,2,2.5,2,2,1,1,NA,0.735228306,0.560677454,0.64795288,4.6,0.0729011100704,1
Foursquare,2010,3,2,2,1.5,2,1.2,NA,0.878885986,2.859956494,1.86942124,NA,0.8,0.5
Global Giving,2004,2,1.5,2,2,1.5,2.7,NA,0.387119158,0.43810609,0.412612624,0.546659840566,0.368192592593,0.259575562423
Guifinet,2005,2,2.8,2.2,1,NA,NA,NA,0.271361064,NA,0.271361064,NA,NA,0.157894736842
Hoote Suite,2009,3,2,2.2,1,2.5,2,NA,NA,0.872013404,0.872013404,5.81818181818,0.4,NA
Huffington Post,2006,2,1.7,2,1.5,1.5,1,NA,0.86459026,NA,0.86459026,0.333333333333,NA,0.27808988764
Instragram,2011,3,2,2,1.5,2.2,1,NA,NA,1.733449098,1.733449098,NA,0.5,NA
Khan Academy,2007,2,1.5,1,1,2.5,2.7,NA,0.387280229,3.062027305,1.724653767,NA,0.666666666667,0
Kickstarter,2009,3,1.5,2,2,1,2.5,1.22410072924729,NA,0.785183305519854,1.00464201738357,2.21816573821,2.15982281815,0.0995085316693
Kiva,2006,2,1.7,2,2,1.7,1.5,0.21925933,0.442739595,0.290947857,0.317648927,0.28061585132,0.338150719973,0.218011866667
Lendingclub,2007,2,1.5,2,2,1.2,1.7,NA,0.928847736,NA,0.928847736,NA,NA,2.000970825
LinkedIN,2003,2,1.5,2.2,2.2,2,2,0.649568679,0.440595493,NA,0.545082086,0.861986751923,0.111111111111,0.282737033955
Makerbot,2010,3,2,1,1,1,1,NA,NA,0.436734208,0.436734208,0.57,0.625,NA
Meet Up,2003,2,1.7,2,2,2,NA,NA,0.364127348,0.391578572,0.37785296,NA,0.434234234234,0.7789875
Netflix,1998,1,2.2,1,1.5,2,1,0.259680103798623,0.245920663775795,0.323856364076428,0.276485710550282,0.126289678794,0.436363636364,0.0574729294173
Odesk,2006,2,1.5,2,1.5,1.5,1,0.60268518001383,0.66457845484364,NA,0.633631817428735,1.23,0.666666666667,0.481481481481
Patientslikeme,2005,2,2.2,1.5,1.5,2.2,2,NA,NA,0.436489417,0.436489417,NA,0.375,0.333333333333
