Company,Founded,Era,Connect,Collect,Empower,Enable,Share,Alpha.Revenue,Alpha.Impact,Alpha.Users,Avg.Alpha,RevenueSpeed,UserSpeed,ImpactSpeed
Dropbox,2008,3,1.7,2,1,2,2,NA,0.626381484,1.263454117,0.944917801,2.08333333333,10.9375,1.75
Ebay,1996,1,2,2,2,2,1,0.13087573841749,0.078476695463192,NA,0.104676216940341,0.537466724386,NA,0.455049944506
Elance,1999,1,1.5,2,2,1.5,NA,0.296133085,0.904044134,0.632359838,0.610845685,0.724637681159,2.42424242424,6.25
Etsy,2006,2,2,2,2,2.5,1,0.571862568,0.438403361,0.225908554,0.412058161,1.65190107051,0.514450867052,1.25
Evernote,2009,3,2,2,1.5,2,1,0.821739678607901,1.49097590485311,1.01428289462757,1.10899949269619,4.41598586885,9.54184816057,14.1602945341
Facebook,2005,2,1.7,2.2,2.2,2.5,2,0.742168543127874,0.95821247082997,0.39992740385105,0.700102805936298,2.18318318318,0.85,8.3125
Fon,2005,2,2.5,2,2,1,1,NA,0.735228306,0.560677454,0.64795288,5.6,0.969198333333,3
Foursquare,2010,3,2,2,1.5,2,1.2,NA,0.878885986,2.859956494,1.86942124,NA,112.5,3
Global Giving,2004,2,1.5,2,2,1.5,2.7,NA,0.387119158,0.43810609,0.412612624,1.07841675871,1.16902531646,1.01899663
Guifinet,2005,2,2.8,2.2,1,NA,NA,NA,0.271361064,NA,0.271361064,NA,NA,0.625
Hoote Suite,2009,3,2,2.2,1,2.5,2,NA,NA,0.872013404,0.872013404,6.81818181818,2.33333333333,NA
Huffington Post,2006,2,1.7,2,1.5,1.5,1,NA,0.86459026,NA,0.86459026,1.33333333333,NA,1.68518518519
Instragram,2011,3,2,2,1.5,2.2,1,NA,NA,1.733449098,1.733449098,NA,7.5,NA
Khan Academy,2007,2,1.5,1,1,2.5,2.7,NA,0.387280229,3.062027305,1.724653767,NA,13.3333333333,0.641025641026
Kickstarter,2009,3,1.5,2,2,1,2.5,1.22410072924729,NA,0.785183305519854,1.00464201738357,3.21816573821,2.43612936572,0.841120310916
Kiva,2006,2,1.7,2,2,1.7,1.5,0.21925933,0.442739595,0.290947857,0.317648927,0.637147619048,0.935729174813,1.141886125
Lendingclub,2007,2,1.5,2,2,1.2,1.7,NA,0.928847736,NA,0.928847736,NA,NA,9.79429120431
LinkedIN,2003,2,1.5,2.2,2.2,2,2,0.649568679,0.440595493,NA,0.545082086,2.69800294688,17.5,1.295
Makerbot,2010,3,2,1,1,1,1,NA,NA,0.436734208,0.436734208,1.57,1.25,NA
Meet Up,2003,2,1.7,2,2,2,NA,NA,0.364127348,0.391578572,0.37785296,NA,0.995,1.18599166667
Netflix,1998,1,2.2,1,1.5,2,1,0.259680103798623,0.245920663775795,0.323856364076428,0.276485710550282,0.720299544564,0.965927616563,0.613858055836
Odesk,2006,2,1.5,2,1.5,1.5,1,0.60268518001383,0.66457845484364,NA,0.633631817428735,2.47777777778,2.36842105263,2.22222222222
Patientslikeme,2005,2,2.2,1.5,1.5,2.2,2,NA,NA,0.436489417,0.436489417,NA,1.22222222222,1.33333333333
Plos,2007,2,1.5,2,1.5,2.5,2.7,0.424370409,0.616700636,NA,0.520535522,1.25160130352,NA,3.78200181571
Quirky,2010,3,1.5,2.2,1.5,1,2,NA,1.452360335,1.104278072,1.278319203,3,2.73076923077,16.9434090139
Research Gate,2009,3,1,2,1.5,1.2,1,NA,2.088187087,0.761105483,1.424646285,NA,2,277.777777778
Salesforce,2000,1,2,2.2,1,2,1,0.265914385523111,0.241377564189086,0.38930795131021,0.298866633674136,0.701648171521,1.13725490196,0.825396825397
Shapeways,2008,3,0.5,1.5,2,2.7,2,NA,0.821353416,1.57518044,1.198266928,NA,2,1.6875
Shiply,2009,3,2.2,2,1,1,1,NA,0.649382548,0.766989533,0.708186041,4.16666666667,1.90476190476,2.047991
Shutterfly,2000,1,1.7,2,1.5,1.5,1.5,0.285037906,0.198402901,0.235411638,0.239617482,0.866532484959,0.717464187748,0.689477463777
Skype,2006,2,1.7,1,1,1.2,1,0.321300473508403,0.208446901965913,NA,0.264873687737158,0.927213722763,0.295358649789,1.20547945205
Sparkfun,2004,2,0.5,1,1,1,1,0.36558686,NA,NA,0.36558686,0.746268656716,NA,0.82183908046
Spotify,2007,2,2.2,1,1.2,2.2,1,1.10452230470552,0.839632848922258,0.315743454314526,0.753299535980768,2.52270433905,0.8,3.07692307692
Stack Overflow,2009,3,1,2,2,1.7,2.7,NA,0.513720417,NA,0.513720417,NA,NA,1.20567375887
Survey Monkey,2000,1,1,1.5,1.2,1.5,1,NA,0.30702598,0.445898768,0.376462374,1.13,1,0.866666666667
TedX,2010,3,1.7,1.5,1.5,1.5,2.5,NA,NA,0.690775528,0.690775528,NA,1.66666666667,1.16279069767
Twitter,2007,2,2.2,2.2,2.7,1.5,2,NA,1.219515049,0.569000646,0.894257848,0.00560387934083,1.21951219512,2.5641025641
Waze,2008,3,2,2.2,1.5,1.5,1,NA,NA,1.927703914,1.927703914,NA,16.6666666667,NA
Whatsapp,2010,3,2,2,1.5,1.5,2,NA,NA,1.67327406,1.67327406,NA,71.6666666667,2.45454545455
Wikipedia,2002,1,1.5,3,2.5,3,2.7,0.443440028497411,0.187365507224263,0.123054455490112,0.251286663737262,1.46265328874,0.6038647343,0.535831848592
Yammer,2009,3,1.7,1.5,1.5,1.2,1,1.38440980548162,1.34953052938071,0.911077517862397,1.21500595090824,4.200000168,2.5,3.66666666667
Yelp,2005,2,2.2,2,1.5,1.7,2,0.602671701824613,0.481746901101943,0.392440489060718,0.492286363995758,1.7766627922,1.03539517583,1.30555555556
Youtube,2006,2,2,2.2,2.2,2.5,2,NA,0.84763712,0.592508791,0.720072956,NA,2.5,1.33333333333
ZipCar,2001,1,2.2,1,1,1.2,1,0.254611119,0.066921479,0.264052454,0.195195017,0.708684626448,0.623076923077,0.561545372866
