Company,Description,UsersPattern,UsersPattern,UsersPattern,UsersPattern,UsersPattern,UsersAbsolute,UsersAbsolute,UsersAbsolute,UsersAbsolute,UsersAbsolute,UsersAbsolute,UsersRelative,UsersRelative,UsersRelative,UsersRelative,UsersRelative,UsersRelative,ImpactPattern,ImpactPattern,ImpactPattern,ImpactPattern,ImpactPattern,ImpactAbsolute,ImpactAbsolute,ImpactAbsolute,ImpactAbsolute,ImpactAbsolute,ImpactAbsolute,ImpactRelative,ImpactRelative,ImpactRelative,ImpactRelative,ImpactRelative,RevenuePattern,RevenuePattern,RevenuePattern,RevenuePattern,RevenuePattern,RevenueAbsolute,RevenueAbsolute,RevenueAbsolute,RevenueAbsolute,RevenueAbsolute,RevenueRelative,RevenueRelative,RevenueRelative,RevenueRelative,RevenueRelative
Survey Monkey,Survey Monkey,,1,2,3,4,,2.500.000,5.000.000,8.500.000,12.000.000,15.000.000,,,100,70,41,25,,4,3,4,4,,20.000.000,25.000.000,40.000.000,51.000.000,65.000.000,,25,60,28,27,,,2,,1,,27.000.000,50.000.000,,113.000.000,-,100,85,,126
Plos,Open Source Journal,,,,,,5.400.000,,,1.500.000,,,,,,,,,3,3,1,2,1,2.8,4.406,6.749,13.789,23.488,66.654,57,53,104,70,184,,3,3,2,,6.142.000,8.899.000,12.995.000,22.276.000,,,45,46,71,
Crowdflower,Online P2P task platform,,1,1,2,2,,125,500,1.500.000,2.500.000,4.000.000,,,300,200,66,60,,1,1,1,1,,8.000.000,50.000.000,100.000.000,300.000.000,800.000.000,,525,100,200,167,,,,-,,,,,,,,,,,
DeviantArt,Online artwork community,3,4,4,4,4,7.000.000,11.000.000,13.000.000,18.000.000,23.000.000,28.000.000,,57,18,38,27,22,2,2,4,4,4,50.000.000,81.000.000,140.000.000,145.000.000,180.000.000,246.000.000,62,73,4,24,37,,,,,,,,10.000.000,,,,,,,
Youtube,Video Sharing website ,3,1,2,,,65.000.000,100.000.000,425.000.000,800.000.000,,1.000.000.000,,54,325,88,,,1,1,3,4,4,100.000.000,1.000.000.000,2.000.000.000,3.000.000.000,4.000.000.000,,900,100,50,33,,,,,,,,,,,,,,,,
Research Gate,Online network for science and research,,1,1,2,4,,140,500,1.300.000,2.200.000,3.000.000,,100,257,160,69,36,,3,1,2,4,,40,60,27.000.000,45.000.000,50.000.000,,50,44900,67,11,,,,,,,,,,,,,,,
Baidu,Chinese search engine,,,,2,3,,,,90.000.000,170.000.000,240.000.000,,,,,89,41,4,4,4,4,3,284,317,412,488,596,878,12,30,18,22,47,,4,2,2,3,468.780.000,651.603.000,1.199.254.000,2.303.943.000,3.580.000.000,,39,84,92,55
TedX,Video Conference Website,1,4,1,1,,50.000.000,200.000.000,250.000.000,500.000.000,1.000.000.000,,,300,25,100,100,,,,1,4,2,,,1.3,12.9,16.5,30,,,892,28,82,,,,,,,,,,45.100.000,,,,,
Alibaba Group,Internet-based businesses with a mission to make it easy for anyone to buy or sell anywhere in the world,4,4,4,,,38.075.335,47.732.916,56.722.482.000,72.777.255,,,,25,19,28,,,3,,,,,4.614.250,6.819.984,,,,,48,,,,,,,2,2,2,,900.000.000,1.600.000.000,2.900.000.000,4.900.000.000,,100,78,81,69
Meet Up,Facilitate off line groups meetings,1,3,4,4,4,2.000.000,4.000.000,6.100.000,8.000.000,11.100.000,15.140.000,,100,53,31,39,36,3,1,,,,20,30,68,,80,200,50,127,,,150,,,,,,,,,,12.000.000,,,,,
23AndMe,Provides rapid genetic testing,,,3,2,2,,,65,100,180,350,,,,53,80,94,,,3,1,1,,,43,60,135,315,,,40,125,133,,,,,,,12.600.000,22.000.000,,50.000.000,,,,,
Twitter,Social Micro Blogging website,,,1,3,3,,,37.463.750,88.150.000,138.000.000,215.000.000,,,,135,57,56,,,1,1,1,1.100.000,,65.000.000,140.000.000,340.000.000,500.000.000,,,115,143,47,,,1,1,1,,4.000.000,28.278.000,106.313.000,316.933.000,,,100,276,198
Patientslikeme,Platform people physical problems,2,4,2,2,4,25,45,55,100,160,220,,80,22,81,60,38,,,,,3,,,,,1500,2000,,,,,33,,,,,,,,,,,,,,,
Shiply,Transporting ,,1,2,1,2,,40,175,300,600,1.000.000,,,338,71,100,67,,,2,1,4,,,296.206,500,1.000.000,1.887.000,,,69,100,89,,,1,,,96,,800,,,,,733,,
Skype,Online Communicating Platform,4,4,,,,325.000.000,474.000.000,663.000.000,,,,,46,40,,,,4,4,,,2,5.800.000,7.300.000,8.800.000,,,,26,21,,,,,4,4,,,551.300.000,719.000.000,860.000.000,,2.000.000.000,,30,20,,
Instragram,Photo Application,,,1,1,3,,,1.000.000,10.000.000,100.000.000,150.000.000,,,100,900,900,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shapeways,3D Printing Company,,1,1,1,4,100,,50,100,230,300,,,100,100,130,23,,,1,3,2,100,,1,4,6,10,,,300,50,67,,,,,,,244,,,,,,,,
Foursquare,Locations Based Services,,1,1,2,2,,100,6.000.000,15.000.000,25.000.000,40.000.000,,,5.9,150,67,60,,,2,1,3,,,381.576.305,750.000.000,3.000.000.000,4.500.000.000,,,97,300,50,,,,,,,,,,2.000.000,,,,,
Pinterest,Photo-sharing website ,,,,1,3,,,,10.400.000,48.700.000,70.000.000,,,,100,368,44,,,,1,4,,,,418,23.525.135,29.632.353,,,,5528,26,,,,,,,,,,45.000.000,,,,,
Khan Academy ,Online education program,,,1,2,-,,1.600.000,3.000.000,11.000.000,30.000.000,35.000.000,,,,13.9,71,,3,1,4,4,4,,5.000.000,13.000.000,20.000.000,25.000.000,25.000.000,43,100,30,31,6,,,,,,,,,,,,,,,
Docstoc,File Sharing Website,,2,1,1,4,,,250,3.500.000,6.000.000,,,,88,267,173,17,,1,3,4,,700,1,2000,2.6,3400,3.6,,160,54,25,,,,,,,,,,,,,,,,
Dropbox,File Sharing Cloud,1,1,1,1,2,200,4.000.000,25.000.000,50.000.000,100.000.000,175.000.000,,1.9,525,100,100,75,,,,1,2,,,,2.000.000.000,4.000.000.000,7.000.000.000,,,,100,75,,,,1,1,,,100.000.000,240.000.000,500.000.000,,,100,140,108
BlaBlaCar (2006),Travelling / Mobility ,1,1,1,1,,1,50,125,400,1.600.000,,,4.9,150,280,300,,,,1,3,4,,100,500,1.600.000,2.300.000,3.000.000,,400,220,44,30,,,,,4,,,,1.000.000,1.300.000,,,,100,30
Arduino,OSHW project,2,4,1,2,1,33.788,62.301,84.674,150,300,1.000.000,,84,36,136,77,100,2,4,2,1,,33.788,62.301,84.674,150,300,1.000.000,84,36,77,100,,,,,,3,,,1.000.000,,1.500.000,,,100,,50
Couchsurfing,Hospitality / Tourism,,1,4,4,,700,,2.395.662,3.000.000,3.965.492,,,,242,25,32,,2,,,,,622,1.118.249,,,16.000.000,,80,,,,,,,1,,,788.297,,1.913.400,,,,,145,,
Sparkfun,OSHW webshop,,,,,,,,,,,,,,,,,,,,4,4,,1,,87,120,143,,,,38,19,,,1,4,4,4,6.600.000,13.400.000,18.700.000,25.100.000,30.000.000,,113,40,34,20
37signals,Web Application Company,,,,,,,3.000.000,,,,,,,,,,,4,2,4,4,,12,15,25,34,32,,25,67,36,,,,,,,,8.000.000,1.000.000.000,,,,,,,,
Android ,Application Platform,,,1,1,2,,,200.000.000,10.000.000.000,30.000.000.000,48.000.000.000,,,,4.9,300,60,,1,1,4,1,,7.000.000,66.000.000,237.700.000,295.000.000,1.000.000.000,,843,260,24,239,,,,1,1,,,120.000.000,341.765.335,1.069.725.000,,,100,185,213
Whatsapp,Application ,,1,1,1,3,,1.000.000,2.000.000,20.000.000,200.000.000,300.000.000,,,100,900,900,50,,,,1,1,,,,1.000.000.000,11.000.000.000,27.000.000.000,,,,1000,145,,,,,,,,,,,,,,,
Ebay,E-Commerce Website,,,,,,,,,73.000.000,,,,,,,,,4,4,4,4,,87.700.000,90.100.000,94.500.000,100.400.000,123.000.000,,3,5,6,23,,,1,2,2,2,8.451.261.000,8.727.362.000,9.156.000.000,11.652.000.000,14.072.000.000,,1,5,27,20
Makerbot,Desktop 3D printing,,3,3,2,,,3.5,5200,8000,13,,,,49,54,63,,,,,,,,,,,,,,,,,,,,,,3,,,,10.000.000,15.700.000,,,,100,57
Huffington Post,Online News Aggregretor,,,,,,,,,,,,,,,,,,1,,,4,,1.200.000,9.000.000,26.000.000 A/M,35.600.000,45.000.000,,650,,,26,,,,1,4,,,15.000.000,30.000.000,40.000.000,,,100,100,33,
Etsy,E-Commerce Website,,1,3,1,4,650,5.000.000,7.000.000,10.000.000,22.000.000,30.000.000,,,977,43,120,37,,,,,4,120,,,400,800,1.000.000,,,,100,25,,1,2,2,2,87.500.000,180.600.000,314.300.000,525.600.000,895.000.000,,106,74,67,70
Taskrabbit,Online p2p platform,,,1,1,,,300,,36000,108000,,,,,900,200,,,,,2,,,100,,1500,2500,,,,,67,,,,,,,,,,,,,,,,
Fon ,"""Flexible"" Wifi provider",,,1,,,830,,,6.000.000,,,,,,623,,,1,1,4,4,,212,1.000.000,3.350.000,4.000.000,5.000.000,,372,235,19,25,,,,1,,,,5.000.000,28.000.000,,,,100,460,,
Quora,Questions and Answers,,,1,,,,,1470,547.777,,,,,100,37.163,,,,,1,1,,,,160,283.5,792.514,,,,77,180,,,,,,,,,,11.000.000,61.000.000,,,,,
Lendingclub,P2P Lending Company,,,,,,,,,,,,,,,,,,1,1,1,1,,24.800.000,76.600.000,202.000.000,460.000.000,1.000.000.000,,209,164,128,117,,,,,,,,,,,,,,,,
Carpooling.com,Ride Sharing,,,,4,4,,,,3.500.000,3.700.000,5.000.000,,,,100,6,32,,,,,,,,,1.000.000 A/M,,1300000 A/M,,,,,,,,,,,,,,,,,,,,
Stack Overflow,Questions and Answers,,,,,,,,,,,1.900.000,,,,,,,,1,2,2,4,,2.200.000,4.700.000,8.100.000,13.400.000,17.000.000,,114,72,65,27,,,,,,,,,,,,,,,
Outbrain,Content recommendation service,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,,,,,,,,,,,,,,,,,,,,
We Transfer,Digital filesending website,,,,,,,,,,800,,,,,,,,,,,1,,,,,65.000.000,204.000.000,,,,,214,,,,,,1,,,,600,8.000.000,,,,100,1233
Layar,Augmented Reality App,,,,,,,,,,,,,,,,,,,,,2,,,,,18.000.000,29.000.000,,,,,61,,,,,,,,,,,,,,,,
Waze,Navigation Application,,1,1,1,3,,19,1.000.000,10.000.000,34.000.000,50.000.000,,100,5.163,900,240,47,,,,,,,,,,,90.000.000,,,,,,,,,,,,,,,,,,,,
Guifinet,"Free, Open, neutral wireless community network",,,,,,,,,,,,,,,,,,3,4,3,4,4,5.6,8.8,10.6,15,19,22,57,20,42,27,16,,,,,,,,,,,,,,,
Change.org,Platform for social change,,1,1,1,1,,,1.000.000,6.000.000,20.000.000,45.000.000,,,,500,233,125,,,,1,2,,,,120,350,600,,,,192,71,,,,,,,,,,14.000.000,,,,,
Hoote Suite,Social Media Dashboard,,1,1,2,3,,200,1.000.000,2.700.000,5.000.000,7.000.000,,100,400,170,85,40,,,,,,,,,,,,,,,,,,,,,1,,,,11.000.000,75.000.000,,,,100,582
Causes,Platform for social change,1,2,4,4,4,12.000.000,70.000.000,119.000.000,140.000.000,186.000.000,,,483,70,18,33,,,,,,,,270,,,650,,,,,,,,,,,,,,,,,,,,,
8Coupon,Coupon aggregator,1,4,1,,,60,770.345,1.000.000,2.500.000,,,,30,150,,,,1,1,1,,,5,70,300,600,,,300,100,,,,,,,,,,,,,,,,,,100
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,Explosive Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,Rapid Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,Steady Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,Declining Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
